
0.00,0,1
0.00,4,2
0.00,8,3
0.00,14,4
0.00,18,5
0.00,22,6
0.00,21,7
0.00,25,8
0.01,22,9
0.01,32,10
0.03,40,11
0.07,35,12
0.19,42,13
0.47,30,14
1.18,53,15
2.70,50,16
7.30,39,17
15.69,39,18
41.09,34,19
0,0,20
0,0,21
0,0,22
0,0,23
0,0,24
0,0,25
0,0,26
0,0,27
0,0,28
0,0,29
0,0,30
0,0,31
0,0,32
0,0,33
0,0,34
0,0,35
0,0,36
0,0,37
0,0,38
0,0,39
0,0,40
0,0,41
0,0,42
0,0,43
0,0,44
0,0,45
0,0,46
0,0,47
0,0,48
0,0,49
0,0,50
0,0,100
0,0,200
0,0,300
0,0,400
0,0,500
0,0,600
0,0,700
0,0,800
0,0,900
0,0,1000
0,0,1100
0,0,1200
0,0,1300
0,0,1400
