
0.00,0,1
0.00,4,2
0.00,8,3
0.00,14,4
0.00,19,5
0.00,32,6
0.00,33,7
0.00,31,8
0.00,47,9
0.00,56,10
0.00,81,11
0.00,58,12
0.00,97,13
0.00,88,14
0.00,127,15
0.00,128,16
0.00,121,17
0.00,138,18
0.00,139,19
0.00,144,20
0.00,145,21
0.00,163,22
0.00,171,23
0.00,183,24
0.00,208,25
0.00,192,26
0.00,188,27
0.00,246,28
0.00,215,29
0.00,232,30
0.00,254,31
0.00,250,32
0.00,267,33
0.00,299,34
0.00,299,35
0.00,303,36
0.00,282,37
0.00,328,38
0.00,346,39
0.00,357,40
0.00,369,41
0.00,357,42
0.00,377,43
0.01,376,44
0.01,382,45
0.01,411,46
0.01,408,47
0.01,437,48
0.01,435,49
0.01,451,50
0.14,964,100
2.32,2123,200
12.25,3289,300
37.59,4474,400
94.33,5648,500
197.52,6818,600
336.84,8127,700
592.24,9327,800
897.36,10512,900
1359.40,11737,1000
2156.44,12981,1100
2979.99,14192,1200
4165.73,15472,1300
